data,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2021-06-11,84941,17153504.0,2218,480747
2021-06-12,78648,17069223.0,2042,479805
2021-06-13,38074,17291433.0,1130,484477
2021-06-14,39745,17011824.0,820,475117
2021-06-15,80313,17328242.0,2470,486092
2021-06-16,94677,17462486.0,2995,489940
2021-06-17,74848,17501037.0,2295,490998
2021-06-18,98673,17705108.0,2528,495956
2021-06-19,82090,17720540.0,2306,495817
2021-06-20,44175,17670395.0,1026,492969
2021-06-21,38562,17541917.0,768,492807
2021-06-22,87668,17804882.0,2127,499608
2021-06-23,131597,17760866.0,2651,495291
2021-06-24,73517,18074812.0,2083,505030
2021-06-25,79189,18104363.0,2115,506128
2021-06-26,63962,18198593.0,1604,507544
2021-06-27,33696,18231526.0,737,507804
2021-06-28,27749,17907136.0,609,499968
2021-06-29,64953,18190530.0,1997,508235
2021-06-30,46436,18312848.0,2123,512080
2021-07-01,67194,18352514.0,2141,515323
2021-07-02,87068,18373998.0,1884,514054
2021-07-03,54388,18537765.0,1646,518775
2021-07-04,41184,18583253.0,831,519329
2021-07-05,39476,18445027.0,692,515653
2021-07-06,61995,18429052.0,1840,514569
2021-07-07,55314,18718197.0,1662,523978
2021-07-08,53609,18575571.0,1643,521100
2021-07-09,57801,18607144.0,1524,520882
2021-07-10,48139,18812017.0,1214,526859
2021-07-11,20947,18809619.0,595,526183
2021-07-12,17116,18847270.0,742,527846
2021-07-13,45261,18886604.0,1600,529185
2021-07-14,57273,18913585.0,1686,529011
2021-07-15,52597,18816762.0,1662,527158
2021-07-16,45325,18802726.0,1465,528115
2021-07-17,34444,19038843.0,874,534762
2021-07-18,33956,19236486.0,963,538698
2021-07-19,15371,18957063.0,539,532366
2021-07-20,27594,18926272.0,1417,532318
2021-07-21,54214,19067133.0,1430,536145
2021-07-22,49982,19209717.0,1424,539317
2021-07-23,108746,19298730.0,1328,540390
2021-07-24,38162,19135761.0,1107,538397
2021-07-25,18164,19569674.0,476,546832
2021-07-26,30594,18308368.0,540,516346
2021-07-27,42569,19256257.0,1344,541643
2021-07-28,47899,19191824.0,1369,539873
2021-07-29,42797,19103871.0,1316,533106
2021-07-30,40279,18849267.0,980,530261
2021-07-31,37533,19374174.0,917,544374
